Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt,date
5515,43.0,13.680369306341646,1.0,6.866717022591499,4.0,15.861686097232136,26.0,25.29059870628861,12.0,11.953858107704262,0.0,0.0,0.0,0.0,,,27.05.2021
5515,40.0,12.725924936131763,0.0,0.0,4.0,15.861686097232136,25.0,24.31788337143135,11.0,10.957703265395573,0.0,0.0,0.0,0.0,,,28.05.2021
5515,53.0,16.861850540374586,0.0,0.0,5.0,19.82710762154017,34.0,33.07232138514664,13.0,12.95001295001295,1.0,1.850515368530135,0.0,0.0,,,29.05.2021
5515,47.0,14.952961799954824,0.0,0.0,3.0,11.8962645729241,28.0,27.236029376003117,13.0,12.95001295001295,3.0,5.551546105590407,0.0,0.0,,,30.05.2021
5515,50.0,15.907406170164704,0.0,0.0,3.0,11.8962645729241,33.0,32.09960605028938,11.0,10.957703265395573,3.0,5.551546105590407,0.0,0.0,,,31.05.2021
5515,54.0,17.126926382761432,0.0,0.0,4.0,15.861686097232136,33.0,32.09960605028938,14.0,13.94616779232164,3.0,5.551546105590407,0.0,0.0,,,01.06.2021
5515,50.0,15.858265169223548,0.0,0.0,4.0,15.861686097232136,30.0,29.18146004571762,13.0,12.95001295001295,3.0,5.551546105590407,0.0,0.0,,,02.06.2021
5515,47.0,14.906769259070137,0.0,0.0,4.0,15.861686097232136,28.0,27.236029376003117,12.0,11.953858107704262,3.0,5.551546105590407,0.0,0.0,,,03.06.2021
5515,33.0,10.46645501168754,0.0,0.0,6.0,23.792529145848203,13.0,12.645299353144305,12.0,11.953858107704262,2.0,3.701030737060271,0.0,0.0,,,04.06.2021
5515,27.0,8.563463191380716,1.0,6.866717022591499,5.0,19.82710762154017,8.0,7.781722678858032,13.0,12.95001295001295,0.0,0.0,0.0,0.0,,,05.06.2021
5515,22.0,6.9776366744583616,1.0,6.866717022591499,5.0,19.82710762154017,4.0,3.890861339429016,12.0,11.953858107704262,0.0,0.0,0.0,0.0,,,06.06.2021
5515,22.0,6.9776366744583616,1.0,6.866717022591499,6.0,23.792529145848203,4.0,3.890861339429016,11.0,10.957703265395573,0.0,0.0,0.0,0.0,,,07.06.2021
5515,18.0,5.7089754609204775,1.0,6.866717022591499,5.0,19.82710762154017,1.0,0.972715334857254,11.0,10.957703265395573,0.0,0.0,0.0,0.0,,,08.06.2021
5515,21.0,6.66047137107389,2.0,13.733434045182998,5.0,19.82710762154017,4.0,3.890861339429016,10.0,9.961548423086883,0.0,0.0,0.0,0.0,,,09.06.2021
5515,20.0,6.343306067689419,2.0,13.733434045182998,6.0,23.792529145848203,7.0,6.809007344000778,5.0,4.980774211543444,0.0,0.0,0.0,0.0,,,10.06.2021
